Poshmark Inventory Report for @omclosetgalore
Inventory as of 08/30/2026
Notes:
** Only listings that are available are shown on this file.
** The balance amount on this page should not be used for accounting purposes. Please refer to the 'My Balance' page to find the amount that can be used/spent/withdrawn.
""
Listing Date,Number of Days Listed,Listing SKU,Item SKU,Listing Title,Department,Category,Subcategory,Brand,Color,Size,NWT,Quantity Available,Likes,Cost Price,Lowest Listed Price,Current Listing Price,Other Info,Seller Shipping Discount
01/17/2025,590,,,🆕 New Apple power adapter extension cable,Electronics,"Computers, Laptops & Parts",Computer Cable Adapters,Apple,White,OS,Y,2,0,"",$15.00,$15.00,,$1.50
01/19/2025,588,,,"Merona 3/4 sleeve jacket, black, sz M",Women,Jackets & Coats,"",,Black,M,N,1,0,"",$24.00,$24.00,,$1.50
01/19/2025,588,,,"Burberry London eau de parfum, 1.7oz/50ml",Women,Bath & Body,"",Burberry,Cream,OS,N,1,0,"",$50.00,$78.00,,""
01/19/2025,588,,,"🆕 NIB Taryn Rose Force H2Go water bottle, white",Women,Accessories,"",Taryn Rose,White,OS,Y,2,1,"",$16.00,$16.00,,$1.50
01/20/2025,587,,,"Aeropostale fleece quarter zip pull over, Sz M, black/navy blue",Men,Jackets & Coats,"",Aeropostale,"Blue, Black",M,N,1,4,"",$20.00,$22.00,,""
01/25/2025,582,,,"🆕 NWT Cole Haan Kindle Key/Fire cover, black",Electronics,Tablets & Accessories,Covers,Cole Haan,Black,OS,Y,1,0,"",$35.00,$35.00,,$1.50
01/25/2025,582,,,"❌[S O L D]❌ 🆕NWOB Coach Nadia moc loafers, white, Sz 6",Women,Shoes,Moccasins,Coach,White,6,N,1,0,"",$95.00,$95.00,,$1.50
01/26/2025,581,,,NWOT Frye Casey Mini Tote - whiskey (brown),Women,Bags,Crossbody Bags,Frye,Brown,OS,N,1,6,"",$159.00,$159.00,,$1.50
01/31/2025,576,,,"Like New - Frye Concha Circle crossbody, brown",Women,Bags,Crossbody Bags,Frye,Brown,OS,N,1,11,"",$187.00,$187.00,,$1.50
02/02/2025,574,,,"Coach Shearling High Heel Bootie, grey, Sz 6",Women,Shoes,Ankle Boots & Booties,Coach,Gray,6,N,1,0,"",$148.00,$148.00,,$1.50
02/03/2025,573,,,"Frye back zip tall boots, whiskey (brown), Sz 6",Women,Shoes,Combat & Moto Boots,Frye,Brown,6,N,1,0,"",$140.00,$140.00,,$1.50
02/09/2025,567,,,"PSU THON hoodie, Sz Small, blue",Women,Tops,Sweatshirts & Hoodies,Gildan,Blue,S,N,1,0,"",$32.00,$32.00,,$1.50
02/09/2025,567,,,"Apple Sport band, white, Sz M/L",Electronics,Wearables,"Clips, Arm & Wristbands",Apple,White,OS,N,1,0,"",$30.00,$30.00,,$1.50
02/23/2025,553,,,"Aritzia TNA The Warmest Parka on Earth, black, Size Medium",Women,Jackets & Coats,Puffers,TNA,Black,M,N,1,4,"",$189.00,$189.00,,$1.50
03/01/2025,547,,,"🆕NIB Tom Ford Lip Color lipstick, 16 Scarlet Rouge, 3g/0.1oz",Women,Makeup,Lipstick,Tom Ford,Red,OS,Y,1,2,"",$48.00,$48.00,,$1.50
03/02/2025,546,,,"PSU Hoodie, big S on back, navy blue, Sz Small",Women,Tops,Sweatshirts & Hoodies,Gildan,Blue,S,N,1,0,"",$31.00,$31.00,,$1.50
